,ID,age_band,gender,car_model,car_segment,age_of_vehicle_years,sched_serv_warr,non_sched_serv_warr,sched_serv_paid,non_sched_serv_paid,total_paid_services,total_services,mth_since_last_serv,annualised_mileage,num_dealers_visited,num_serv_dealer_purchased
110615,129854,4.0,0,1.0,3,6,8,10,7,9,9,9,8,7,3,10
110629,129870,1.0,0,1.0,3,5,8,7,8,10,10,7,7,10,4,9
110632,129876,5.0,1,1.0,3,7,8,9,8,5,6,9,4,5,5,9
110641,129885,2.0,1,2.0,1,5,6,7,8,7,7,7,9,3,6,8
110642,129886,2.0,1,5.0,3,6,6,4,8,6,7,4,6,5,6,6
110645,129889,3.0,1,5.0,3,6,5,5,5,3,3,4,7,3,5,6
110647,129891,3.0,1,1.0,3,10,9,9,10,7,8,9,10,9,9,9
110648,129892,3.0,1,2.0,1,9,9,10,10,8,9,10,9,7,8,10
110653,129897,3.0,1,2.0,1,10,10,9,10,6,9,10,3,10,9,2
110659,129903,4.0,1,6.0,0,9,2,7,3,5,3,3,10,3,6,5
110665,129910,2.0,0,1.0,3,5,2,6,1,4,3,3,10,2,9,4
110678,129923,2.0,0,1.0,3,8,7,2,7,3,4,5,7,6,5,2
110681,129927,2.0,1,6.0,0,8,8,7,5,5,4,6,9,6,10,4
110682,129928,4.0,0,1.0,3,8,8,8,7,8,7,8,7,10,2,1
110690,129938,3.0,0,4.0,3,8,5,7,6,4,4,7,9,6,9,7
110697,129947,1.0,1,2.0,1,9,3,8,5,9,8,6,10,3,9,3
110712,129964,1.0,0,7.0,1,8,6,3,3,5,4,5,6,8,4,6
110722,129974,1.0,0,1.0,3,8,5,2,4,3,3,2,10,3,5,4
110724,129978,5.0,0,4.0,3,9,7,10,7,6,6,9,8,5,3,3
110736,129992,2.0,0,4.0,3,8,6,1,6,2,4,4,10,4,7,5
110739,129997,3.0,1,8.0,0,5,9,8,5,8,7,9,7,10,5,10
110740,129998,1.0,0,0.0,0,8,7,4,3,7,5,6,5,8,9,5
110747,130006,2.0,0,3.0,1,6,1,1,2,1,2,1,2,1,1,1
110780,130043,1.0,0,1.0,3,5,8,9,8,6,6,9,6,8,10,10
110786,130052,1.0,1,1.0,3,8,3,7,5,10,10,4,8,8,5,6
110795,130062,3.0,1,6.0,0,10,4,10,3,10,10,9,7,8,10,6
110810,130080,6.0,0,7.0,1,6,10,8,5,5,4,9,7,5,8,10
110814,130084,4.0,1,2.0,1,10,6,2,4,2,3,4,10,4,6,5
110819,130090,1.0,1,2.0,1,5,10,5,10,5,8,8,7,10,10,7
110824,130095,1.0,1,6.0,0,6,5,7,5,6,5,6,9,5,9,4
110828,130099,3.0,1,6.0,0,7,10,8,10,9,9,10,7,10,3,10
110846,130120,3.0,0,1.0,3,9,5,9,4,9,8,7,10,7,2,3
110851,130127,5.0,1,2.0,1,2,2,2,1,1,1,1,2,2,1,2
110855,130133,4.0,0,1.0,3,2,2,2,2,2,2,1,2,2,2,1
110859,130138,3.0,1,0.0,0,8,5,6,10,9,9,6,9,6,9,5
110860,130139,1.0,0,1.0,3,9,5,9,7,8,7,8,9,6,8,9
110872,130152,4.0,1,6.0,0,8,10,9,10,8,9,9,6,10,4,10
110878,130160,5.0,0,1.0,3,7,8,2,9,2,6,5,7,6,8,7
110893,130178,2.0,0,5.0,3,8,4,5,6,5,4,4,9,10,7,2
110900,130186,1.0,0,3.0,1,10,3,10,1,6,4,7,10,7,6,9
110902,130188,5.0,0,4.0,3,9,4,5,4,4,3,4,10,3,8,5
110912,130199,2.0,1,7.0,1,10,8,9,9,9,9,9,3,7,3,9
110914,130201,2.0,1,1.0,3,7,3,2,4,2,2,3,10,3,7,4
110916,130204,0.0,1,1.0,3,6,10,3,9,2,7,7,6,10,8,9
110920,130209,3.0,0,3.0,1,10,8,10,9,9,9,10,2,10,10,10
110922,130211,5.0,1,1.0,3,10,6,4,8,8,8,5,10,3,4,7
110932,130222,2.0,1,0.0,0,9,3,4,3,4,3,3,10,3,5,5
110934,130226,2.0,1,6.0,0,9,3,4,4,4,3,3,10,3,4,5
110936,130230,2.0,0,6.0,0,9,7,5,7,4,5,6,3,5,5,7
110938,130233,5.0,1,3.0,1,6,1,1,3,1,2,1,1,1,1,1
110948,130245,2.0,0,3.0,1,5,6,9,5,10,10,7,8,5,7,9
110961,130260,4.0,1,7.0,1,10,4,5,4,4,3,3,10,3,7,4
110976,130277,2.0,1,7.0,1,7,6,8,10,10,10,7,8,8,9,8
110977,130278,2.0,0,4.0,3,5,10,3,9,6,7,9,3,4,7,9
110979,130280,4.0,1,0.0,0,9,8,8,10,7,9,8,9,7,6,9
110987,130290,3.0,0,1.0,3,9,7,9,8,9,8,8,10,3,6,9
110988,130291,4.0,0,1.0,3,6,7,10,3,5,3,9,8,7,3,10
111000,130305,2.0,1,3.0,1,6,4,4,4,8,7,4,9,3,9,4
111003,130308,3.0,0,2.0,1,5,10,6,7,8,7,9,5,9,5,9
111007,130312,2.0,1,6.0,0,7,5,6,3,9,8,5,5,9,10,4
111008,130313,3.0,0,2.0,1,5,4,6,3,6,4,5,9,6,4,6
111026,130333,0.0,0,4.0,3,9,7,9,5,8,6,9,4,9,10,2
111029,130336,4.0,1,0.0,0,6,7,10,9,10,10,10,5,5,8,10
111042,130350,2.0,1,0.0,0,10,10,7,10,10,10,9,7,8,2,2
111045,130353,1.0,0,4.0,3,8,1,4,1,4,3,2,10,2,8,4
111049,130359,4.0,1,1.0,3,9,4,10,3,9,7,8,10,3,10,8
111050,130361,4.0,1,0.0,0,9,4,6,4,10,10,5,10,3,5,6
111054,130365,2.0,0,5.0,3,10,6,3,3,1,2,3,10,5,6,5
111060,130371,4.0,1,6.0,0,7,6,4,7,3,4,4,10,5,4,6
111066,130378,5.0,0,3.0,1,9,10,10,10,10,10,10,5,9,10,10
111067,130379,2.0,1,7.0,1,9,10,8,10,5,8,9,2,8,5,10
111078,130391,3.0,0,1.0,3,8,10,10,10,8,9,10,7,10,9,4
111082,130395,0.0,0,1.0,3,7,2,1,1,1,1,2,1,2,2,3
111094,130408,2.0,0,3.0,1,5,6,2,5,2,3,5,7,9,6,6
111108,130426,5.0,1,0.0,0,8,8,6,7,4,4,8,8,9,3,8
111113,130432,4.0,0,2.0,1,10,8,7,9,8,8,8,4,8,9,9
111114,130433,5.0,1,2.0,1,9,8,6,9,4,7,7,6,7,10,7
111115,130434,4.0,1,3.0,1,6,9,5,8,3,5,8,3,5,7,8
111121,130440,4.0,0,7.0,1,8,9,10,9,10,10,10,2,9,9,5
111136,130457,2.0,1,1.0,3,8,7,7,9,9,9,8,6,9,3,8
111141,130465,6.0,0,1.0,3,7,10,2,5,2,3,9,3,6,4,10
111143,130468,3.0,1,0.0,0,8,8,7,10,6,9,8,10,6,6,9
111144,130469,5.0,0,1.0,3,8,6,6,8,6,6,6,8,5,5,8
111146,130471,2.0,1,3.0,1,6,10,9,8,4,6,10,4,9,6,10
111155,130482,1.0,0,7.0,1,6,8,10,8,9,9,10,4,10,7,10
111159,130489,1.0,1,8.0,0,10,3,6,4,6,5,4,10,3,3,6
111160,130490,1.0,0,3.0,1,6,10,4,10,3,8,9,6,10,6,10
111161,130491,2.0,1,1.0,3,6,6,6,7,8,7,5,8,6,10,4
111168,130503,4.0,0,5.0,3,10,4,2,4,2,3,3,10,3,6,4
111169,130504,1.0,1,6.0,0,9,3,4,4,4,3,3,10,3,6,5
111182,130518,2.0,0,1.0,3,6,10,10,9,9,9,10,5,10,3,10
111185,130521,1.0,1,6.0,0,6,8,7,6,9,8,7,9,5,3,9
111199,130537,4.0,0,1.0,3,10,5,6,8,8,8,5,7,6,7,7
111200,130538,5.0,1,5.0,3,6,1,1,1,3,1,2,1,1,2,1
111201,130540,0.0,0,4.0,3,10,7,5,8,4,5,6,10,7,9,6
111211,130552,1.0,1,2.0,1,8,3,10,4,10,10,10,8,8,10,5
111214,130555,2.0,1,3.0,1,9,6,8,6,7,6,7,10,4,5,8
111231,130574,4.0,1,3.0,1,6,9,7,8,6,7,8,3,9,8,9
111249,130593,6.0,0,0.0,0,10,5,6,6,9,9,6,10,3,1,2
111250,130594,2.0,1,2.0,1,8,10,10,10,10,10,10,2,10,9,8
111251,130595,3.0,0,1.0,3,10,4,8,4,7,6,6,7,5,4,7
111254,130599,3.0,1,3.0,1,8,10,2,10,1,10,7,7,10,5,8
111264,130611,2.0,0,1.0,3,5,7,2,8,3,6,5,3,7,3,6
111269,130617,3.0,0,1.0,3,7,7,5,8,6,6,6,8,9,8,7
111271,130619,3.0,0,3.0,1,4,6,5,8,8,8,7,4,7,10,5
111288,130639,1.0,0,3.0,1,5,9,10,7,10,9,10,5,7,5,10
111311,130667,5.0,1,1.0,3,7,10,10,10,10,10,10,2,8,4,10
111317,130676,6.0,1,1.0,3,6,9,1,9,1,7,5,8,7,5,7
111323,130682,3.0,0,5.0,3,5,10,8,9,6,7,9,4,5,6,10
111359,130724,3.0,1,5.0,3,5,4,6,5,6,5,4,10,3,7,6
111367,130734,5.0,1,0.0,0,8,3,7,3,7,5,5,9,5,6,6
111373,130741,5.0,1,1.0,3,7,6,6,6,6,6,6,10,5,3,7
111375,130743,6.0,1,5.0,3,8,8,5,9,4,7,6,5,5,5,8
111389,130758,4.0,0,1.0,3,10,4,10,4,7,6,9,8,8,10,7
111391,130761,3.0,0,0.0,0,9,8,9,9,9,10,9,10,5,7,10
111397,130767,4.0,0,5.0,3,7,2,2,1,3,2,2,1,2,2,2
111398,130768,0.0,1,0.0,0,5,9,9,9,6,7,9,8,8,5,10
111406,130779,5.0,0,1.0,3,6,10,7,9,8,8,10,5,7,3,10
111409,130782,4.0,1,2.0,1,7,9,6,9,4,6,8,4,10,4,9
111410,130783,6.0,1,5.0,3,7,7,9,7,8,8,9,3,4,5,10
111414,130789,1.0,0,1.0,3,9,5,6,7,6,6,6,8,9,5,7
111421,130797,2.0,0,3.0,1,10,4,4,5,4,3,3,10,3,9,4
111426,130803,5.0,1,14.0,3,3,1,1,1,1,1,1,1,1,1,1
111429,130807,3.0,0,3.0,1,8,10,10,10,10,10,10,7,10,9,6
111432,130810,2.0,1,0.0,0,8,9,6,10,7,10,8,9,8,8,9
111433,130811,1.0,0,1.0,3,10,6,5,9,3,7,5,9,5,9,6
111439,130819,5.0,0,5.0,3,6,7,4,8,5,6,5,5,6,7,7
111445,130826,3.0,0,3.0,1,6,10,7,9,9,9,10,5,8,6,10
111447,130828,3.0,1,3.0,1,9,4,5,4,5,4,3,10,3,9,3
111451,130833,3.0,0,0.0,0,7,1,8,2,10,10,4,5,9,9,4
111464,130850,4.0,1,1.0,3,10,6,8,8,7,7,7,5,8,10,4
111467,130854,1.0,1,4.0,3,6,3,6,4,8,6,5,7,4,5,5
111490,130879,1.0,0,1.0,3,10,9,8,8,4,5,9,3,8,9,7
111492,130881,5.0,1,3.0,1,10,6,2,6,1,4,4,10,4,9,4
111495,130884,2.0,0,5.0,3,6,10,7,10,5,8,10,6,10,9,8
111502,130893,3.0,1,0.0,0,9,5,5,6,4,4,4,10,3,2,2
111503,130894,3.0,1,4.0,3,9,9,9,9,7,8,10,5,7,4,10
111504,130896,1.0,0,0.0,0,5,9,10,8,9,8,10,4,10,7,10
111509,130901,5.0,1,0.0,0,1,1,1,3,3,1,1,1,1,1,1
111512,130905,3.0,1,0.0,0,8,4,6,3,6,4,5,9,8,7,6
111527,130924,2.0,0,1.0,3,6,10,1,9,3,7,8,3,8,6,9
111534,130933,2.0,1,2.0,1,8,8,6,8,7,7,7,9,8,4,8
111557,130961,2.0,1,3.0,1,4,9,2,10,1,10,6,4,9,7,2
111561,130967,1.0,0,5.0,3,6,6,9,6,7,6,8,7,7,5,9
111562,130968,2.0,1,1.0,3,9,2,5,2,7,5,3,10,2,7,4
111564,130971,2.0,0,5.0,3,5,1,1,1,3,1,1,1,1,1,1
111565,130972,1.0,1,6.0,0,7,3,9,4,10,10,6,9,6,10,6
111567,130975,2.0,1,4.0,3,8,5,5,6,5,5,5,9,5,9,5
111573,130982,1.0,0,1.0,3,7,10,8,10,9,10,10,4,10,9,6
111579,130991,1.0,0,4.0,3,8,5,9,6,5,4,7,10,4,5,9
111581,130994,4.0,1,3.0,1,6,8,9,9,6,8,8,7,5,4,9
111583,130996,3.0,0,5.0,3,7,3,8,2,5,3,5,9,2,4,6
111584,130997,3.0,0,5.0,3,8,8,1,10,2,7,5,8,9,5,7
111586,130999,3.0,1,1.0,3,10,6,8,7,8,8,6,3,8,8,8
111590,131004,4.0,0,3.0,1,8,7,8,8,6,7,7,8,6,3,9
111605,131020,2.0,0,3.0,1,5,9,10,7,10,10,10,6,10,7,10
111621,131037,3.0,1,3.0,1,8,5,5,7,9,8,4,4,9,10,5
111622,131038,2.0,0,1.0,3,7,3,4,1,4,3,3,10,2,7,4
111642,131060,4.0,1,2.0,1,9,8,8,8,9,9,8,6,7,9,7
111651,131069,1.0,1,5.0,3,10,6,1,5,1,3,3,10,4,6,6
111676,131098,2.0,1,5.0,3,6,10,6,6,3,4,9,7,7,8,9
111677,131100,6.0,1,2.0,1,9,6,6,6,7,6,6,9,5,1,1
111685,131112,4.0,1,3.0,1,5,7,8,5,9,8,7,8,5,7,8
111687,131115,0.0,0,4.0,3,8,10,10,10,9,10,10,8,7,3,10
111697,131129,2.0,1,3.0,1,7,5,4,6,6,5,4,10,4,5,7
111723,131158,6.0,0,1.0,3,7,3,10,4,6,4,8,5,7,3,9
111724,131159,4.0,1,2.0,1,9,9,8,10,8,9,9,3,10,9,5
111739,131177,1.0,0,1.0,3,9,10,8,10,5,10,10,9,10,6,10
111745,131185,3.0,1,7.0,1,5,10,6,9,9,9,9,4,9,5,10
111746,131186,3.0,0,1.0,3,9,10,8,10,5,10,10,8,9,10,10
111750,131192,1.0,1,6.0,0,8,6,9,8,10,10,7,8,8,9,7
111757,131199,3.0,1,0.0,0,10,6,10,8,10,10,8,9,9,9,3
111764,131210,4.0,0,5.0,3,10,8,9,10,7,9,9,6,9,8,10
111765,131211,5.0,1,0.0,0,5,7,9,6,10,10,8,7,7,10,8
111766,131212,4.0,0,7.0,1,7,9,9,9,9,9,9,4,9,6,10
111780,131227,4.0,1,5.0,3,5,9,2,7,1,4,6,4,9,5,3
111795,131246,1.0,0,1.0,3,6,10,9,10,10,10,10,3,10,10,9
111807,131260,4.0,0,1.0,3,7,5,5,5,5,4,4,9,3,8,4
111811,131265,2.0,1,0.0,0,5,4,3,5,3,3,2,10,3,4,4
111813,131267,3.0,0,3.0,1,9,9,10,7,7,7,10,4,8,4,10
111843,131301,3.0,1,6.0,0,8,7,6,9,4,6,7,7,10,10,5
111859,131318,1.0,1,0.0,0,7,7,10,9,10,10,9,9,10,10,9
111860,131319,4.0,1,15.0,0,5,5,8,10,5,10,6,4,10,5,8
111870,131332,3.0,1,5.0,3,5,1,1,2,1,2,1,1,1,1,1
111879,131343,3.0,0,0.0,0,10,8,10,10,10,10,10,9,7,3,10
111890,131354,1.0,1,4.0,3,9,7,3,8,5,6,6,9,4,4,7
111899,131365,2.0,1,1.0,3,3,1,1,3,2,2,1,1,1,1,1
111907,131376,3.0,1,2.0,1,10,7,7,8,7,7,6,9,6,10,7
111920,131392,1.0,1,0.0,0,6,10,8,10,10,10,10,4,10,10,10
111932,131409,3.0,1,6.0,0,10,10,4,10,7,8,8,9,10,7,9
111934,131412,1.0,1,1.0,3,8,8,5,9,3,6,6,8,9,8,8
111935,131413,1.0,1,1.0,3,7,3,9,4,10,9,7,6,10,9,8
111940,131420,2.0,1,0.0,0,9,8,1,8,1,5,4,10,5,3,6
111946,131426,1.0,0,1.0,3,6,10,7,10,4,8,10,5,10,7,4
111956,131438,3.0,0,0.0,0,9,6,9,9,9,9,8,10,5,8,5
111960,131442,3.0,0,3.0,1,10,7,6,9,6,8,7,9,7,9,4
111967,131449,1.0,0,1.0,3,5,9,9,10,7,9,9,3,10,2,1
111969,131451,2.0,1,5.0,3,10,5,9,5,9,8,8,10,5,8,9
111971,131454,2.0,1,7.0,1,6,10,4,9,6,7,9,7,9,10,4
111975,131459,2.0,0,5.0,3,6,8,9,4,6,5,9,6,9,8,9
111977,131461,3.0,0,7.0,1,9,10,6,10,9,10,9,8,10,9,9
111978,131463,3.0,1,2.0,1,2,1,1,1,1,2,1,2,1,1,1
111984,131470,4.0,0,6.0,0,7,3,1,6,2,3,2,9,6,2,3
111989,131476,2.0,1,3.0,1,9,9,1,10,1,10,7,6,10,7,8
111995,131482,3.0,0,1.0,3,10,5,6,7,5,5,5,9,4,3,2
112005,131493,5.0,1,5.0,3,7,5,5,4,5,4,3,10,3,3,1
112015,131503,4.0,0,1.0,3,10,2,2,2,1,1,2,1,2,2,1
112017,131506,0.0,1,6.0,0,6,10,5,9,5,7,9,6,9,9,9
112027,131518,4.0,0,4.0,3,7,6,5,7,3,4,4,10,5,7,6
112041,131536,1.0,1,2.0,1,8,3,6,4,6,4,4,10,2,9,5
112044,131539,3.0,0,1.0,3,1,2,1,3,1,2,1,2,2,2,3
112046,131541,4.0,0,3.0,1,9,7,10,5,8,7,10,3,10,4,10
112049,131545,4.0,0,3.0,1,8,10,4,10,5,8,9,6,10,10,9
112050,131546,1.0,1,0.0,0,6,9,6,10,10,10,8,6,5,6,9
112063,131565,1.0,1,0.0,0,10,5,8,3,9,8,5,10,5,8,7
112077,131579,0.0,0,4.0,3,7,2,1,2,1,1,1,1,2,2,1
112078,131580,3.0,1,7.0,1,7,10,3,10,3,8,9,9,10,4,9
112079,131581,2.0,1,5.0,3,10,6,3,10,4,9,5,10,8,10,4
112082,131584,3.0,0,1.0,3,7,10,10,5,6,5,10,6,9,6,10
112088,131590,2.0,0,1.0,3,6,5,9,8,8,8,7,8,9,9,6
112100,131602,3.0,1,0.0,0,9,4,7,4,10,10,5,10,8,5,5
112104,131608,4.0,0,1.0,3,7,9,10,10,9,10,10,3,10,9,6
112113,131621,6.0,0,1.0,3,9,9,8,8,7,7,9,10,3,7,10
112127,131636,1.0,1,1.0,3,9,4,6,5,5,4,4,9,5,9,4
112129,131638,2.0,0,6.0,0,7,2,3,2,3,2,3,9,2,7,4
112134,131643,1.0,1,3.0,1,6,5,10,7,10,9,10,4,7,9,5
112145,131654,3.0,0,1.0,3,10,3,10,1,10,9,9,9,6,1,3
112152,131664,0.0,1,0.0,0,8,9,10,10,8,10,10,6,7,7,10
112154,131666,1.0,0,6.0,0,8,5,6,8,9,9,5,10,8,8,7
112161,131673,3.0,1,0.0,0,10,7,2,10,3,7,4,10,8,7,1
112175,131690,2.0,1,2.0,1,9,5,10,3,10,10,10,7,9,10,6
112182,131697,1.0,0,5.0,3,8,6,7,6,5,5,6,10,6,5,7
112186,131703,2.0,1,6.0,0,5,10,10,9,8,8,10,3,9,10,9
112190,131707,2.0,1,5.0,3,5,9,8,10,7,9,8,5,8,6,9
112191,131709,3.0,0,1.0,3,10,4,2,5,1,3,2,10,3,1,3
112198,131719,2.0,1,7.0,1,9,4,1,4,3,3,3,10,3,6,4
112202,131723,3.0,0,5.0,3,10,5,7,5,5,4,5,9,8,1,3
112214,131738,3.0,1,2.0,1,9,5,9,7,6,6,8,8,4,10,9
112216,131740,2.0,1,6.0,0,9,6,10,5,9,8,9,4,10,9,7
112233,131758,1.0,0,5.0,3,9,5,2,8,3,5,3,8,6,10,4
112242,131767,2.0,1,1.0,3,9,9,9,10,7,9,10,5,10,3,10
112245,131770,1.0,0,3.0,1,7,1,4,2,5,3,2,10,2,3,4
112249,131775,2.0,1,3.0,1,5,8,8,8,8,8,9,6,8,3,10
112250,131776,3.0,0,1.0,3,5,1,1,2,3,1,1,1,1,1,1
112258,131784,3.0,0,1.0,3,10,3,8,4,8,7,6,10,4,9,6
112266,131795,6.0,0,2.0,1,10,2,1,2,2,1,2,1,2,1,1
112281,131814,5.0,1,5.0,3,8,1,1,2,1,2,1,2,1,1,1
112284,131819,3.0,0,1.0,3,10,9,8,6,6,6,9,6,9,3,9
112291,131827,4.0,0,1.0,3,9,8,5,9,4,6,8,5,8,5,8
112296,131833,0.0,0,1.0,3,9,8,3,9,1,6,5,9,5,8,6
112303,131840,2.0,1,2.0,1,10,9,9,9,9,9,9,2,6,5,10
112318,131856,2.0,1,2.0,1,8,3,6,5,6,5,4,10,3,3,7
112320,131858,1.0,0,1.0,3,6,6,7,6,5,5,5,5,8,9,4
112334,131877,5.0,0,1.0,3,6,9,10,10,9,10,10,6,7,10,10
112340,131883,3.0,0,2.0,1,9,10,6,10,7,9,9,9,10,9,9
112341,131884,4.0,0,3.0,1,7,9,9,7,9,8,9,3,9,3,3
112350,131895,4.0,0,5.0,3,9,5,5,6,6,5,5,10,4,4,6
112353,131900,1.0,1,2.0,1,8,7,9,8,8,8,8,9,8,10,6
112361,131911,2.0,1,3.0,1,10,6,8,6,7,6,6,4,5,9,4
112380,131933,3.0,0,1.0,3,7,9,1,8,1,5,6,8,8,6,7
112382,131936,3.0,1,1.0,3,6,10,8,10,9,9,10,5,9,3,10
112384,131938,4.0,0,3.0,1,6,7,8,7,8,8,8,7,6,8,9
112400,131958,4.0,1,0.0,0,10,7,3,8,1,5,4,10,5,8,7
112403,131961,6.0,1,5.0,3,6,8,7,7,6,6,7,7,5,1,3
112405,131963,4.0,0,5.0,3,9,8,10,9,7,8,10,8,5,3,10
112419,131979,2.0,1,6.0,0,4,10,6,7,4,4,8,7,9,2,2
112428,131989,3.0,1,3.0,1,4,9,3,7,3,4,7,6,6,8,8
112439,132002,3.0,1,0.0,0,8,10,7,10,10,10,10,7,10,2,2
112445,132010,1.0,1,1.0,3,10,5,8,7,8,7,6,10,5,9,7
112446,132011,0.0,1,2.0,1,10,7,10,6,9,8,9,10,6,6,10
112473,132042,5.0,1,0.0,0,9,7,3,6,9,9,5,9,4,9,6
112481,132050,2.0,1,3.0,1,7,6,7,7,7,7,7,9,5,9,4
112498,132069,3.0,1,3.0,1,7,9,4,10,9,9,8,6,9,10,8
112501,132072,2.0,0,7.0,1,9,9,8,9,7,8,9,7,9,3,10
112506,132078,1.0,0,3.0,1,5,9,9,8,7,7,9,4,6,8,10
112514,132087,0.0,1,1.0,3,6,10,4,8,7,7,9,7,9,10,9
112516,132089,2.0,1,3.0,1,9,10,10,10,7,9,10,8,10,7,10
112517,132090,4.0,1,0.0,0,3,3,5,4,5,3,3,5,4,3,1
112527,132100,5.0,0,1.0,3,8,8,10,7,9,9,10,3,5,10,10
112528,132101,2.0,1,2.0,1,7,9,6,8,7,7,8,8,9,9,9
112542,132116,2.0,1,1.0,3,7,5,9,2,10,9,6,5,10,2,3
112548,132122,3.0,0,1.0,3,6,9,6,6,6,5,8,7,5,4,9
112550,132124,4.0,0,1.0,3,9,10,9,9,7,7,10,6,10,9,6
112553,132129,3.0,0,11.0,1,8,5,4,6,4,4,4,9,5,3,6
112560,132138,1.0,1,1.0,3,9,3,1,4,1,3,3,10,3,1,2
112562,132141,3.0,0,5.0,3,7,6,9,5,5,5,7,8,7,9,6
112563,132142,1.0,1,6.0,0,9,5,8,7,8,8,7,10,4,10,6
112566,132145,4.0,0,0.0,0,5,7,9,8,9,9,8,8,5,4,9
112572,132152,2.0,1,1.0,3,8,8,5,8,5,6,5,9,7,5,7
112581,132162,3.0,0,1.0,3,10,8,10,8,9,9,10,5,10,6,10
112607,132196,4.0,0,3.0,1,4,9,4,8,4,6,8,5,5,4,8
112609,132198,3.0,0,1.0,3,9,8,4,8,4,6,6,9,5,7,7
112615,132204,2.0,1,0.0,0,7,8,5,6,5,5,6,8,6,5,7
112625,132215,1.0,1,1.0,3,10,7,10,8,9,9,9,9,6,7,9
112630,132220,6.0,1,0.0,0,9,3,2,2,1,1,2,1,2,1,1
112644,132234,6.0,1,2.0,1,10,5,8,3,5,3,6,10,6,6,8
112657,132251,5.0,1,2.0,1,4,10,6,8,5,6,9,3,6,5,10
112684,132285,1.0,1,1.0,3,10,6,8,7,7,6,6,9,8,9,6
112689,132293,2.0,0,3.0,1,8,10,4,10,4,9,9,3,10,3,10
112701,132305,5.0,1,5.0,3,6,8,7,5,6,4,8,6,5,6,9
112717,132326,3.0,1,15.0,0,10,9,7,9,5,8,8,6,10,4,9
112719,132328,5.0,0,2.0,1,8,6,6,8,3,5,6,9,7,8,2
112726,132335,6.0,1,5.0,3,9,9,9,10,9,10,9,3,9,3,10
112738,132347,1.0,0,2.0,1,5,7,5,7,3,4,5,3,6,4,7
112741,132350,1.0,1,6.0,0,5,10,9,10,9,9,10,4,10,9,10
112743,132353,2.0,0,1.0,3,9,8,8,7,5,5,7,9,7,10,3
112747,132359,5.0,1,1.0,3,5,6,10,6,8,7,8,6,4,9,8
112749,132362,3.0,1,1.0,3,10,5,3,3,1,3,2,10,3,7,4
112751,132364,4.0,1,7.0,1,5,10,10,7,10,10,10,3,5,8,10
112758,132371,3.0,0,5.0,3,9,3,1,4,3,3,2,10,3,3,4
112761,132375,3.0,0,3.0,1,10,9,7,10,7,9,9,9,8,7,10
112773,132391,3.0,0,7.0,1,10,10,9,7,4,4,10,3,10,1,3
112784,132404,3.0,1,1.0,3,8,4,7,5,5,4,5,9,3,7,6
112785,132405,5.0,1,2.0,1,8,6,8,8,6,6,6,7,9,4,8
112788,132408,5.0,1,3.0,1,6,9,6,8,7,7,8,8,3,8,9
112792,132415,1.0,0,4.0,3,4,7,8,7,9,8,8,5,5,10,8
112807,132434,3.0,1,0.0,0,9,10,9,10,10,10,10,10,10,6,10
112809,132436,3.0,1,6.0,0,5,3,7,3,3,2,4,9,3,4,6
112813,132442,3.0,0,1.0,3,6,10,6,9,5,7,8,8,6,4,9
112816,132445,6.0,1,5.0,3,5,10,9,5,4,3,10,6,6,5,10
112817,132446,3.0,1,3.0,1,9,9,9,10,7,9,9,6,10,3,10
112818,132447,4.0,1,1.0,3,8,8,10,7,9,9,10,6,8,5,10
112819,132448,5.0,1,3.0,1,6,10,9,9,9,9,10,4,10,7,10
112821,132450,4.0,1,0.0,0,5,8,9,8,8,7,9,6,7,7,10
112833,132463,2.0,1,3.0,1,6,6,7,7,8,8,8,3,8,7,9
112837,132469,6.0,0,1.0,3,9,10,5,10,5,8,9,8,6,7,10
112846,132478,1.0,1,0.0,0,8,4,7,5,10,9,5,10,3,1,2
112849,132485,5.0,0,2.0,1,9,5,1,8,3,5,3,10,4,8,5
112850,132486,1.0,1,1.0,3,6,4,4,5,7,5,4,9,3,8,5
112854,132490,6.0,0,1.0,3,6,4,5,3,7,5,4,9,3,4,5
112862,132499,0.0,0,1.0,3,6,10,7,9,6,7,8,2,10,10,6
112875,132515,5.0,1,1.0,3,8,9,5,9,4,6,7,6,7,5,8
112884,132527,1.0,0,1.0,3,5,9,9,8,8,8,10,8,5,8,10
112913,132562,1.0,0,1.0,3,10,10,6,10,7,10,9,4,10,10,9
112929,132581,2.0,0,1.0,3,7,8,9,10,6,9,9,6,6,5,10
112947,132604,3.0,0,4.0,3,7,1,2,1,2,1,2,2,1,2,3
112950,132607,0.0,0,1.0,3,10,6,9,7,8,7,8,5,6,5,9
112951,132608,3.0,1,3.0,1,6,7,6,6,7,6,6,7,9,6,8
112958,132617,5.0,0,5.0,3,7,4,4,4,4,3,3,9,3,6,5
112963,132623,3.0,1,2.0,1,8,10,8,8,9,9,10,5,10,3,10
112965,132626,0.0,0,5.0,3,5,6,5,6,4,4,4,9,5,10,5
112968,132629,4.0,1,0.0,0,10,3,4,5,3,3,3,10,3,3,2
112972,132634,3.0,1,0.0,0,6,4,10,3,10,10,10,5,8,8,10
112984,132647,1.0,0,1.0,3,9,6,6,4,10,9,5,10,6,9,5
112995,132658,0.0,1,1.0,3,8,9,2,10,2,8,6,4,6,7,7
113003,132666,3.0,0,1.0,3,9,7,7,8,4,6,7,10,6,8,8
