,ID,age_band,gender,car_model,car_segment,age_of_vehicle_years,sched_serv_warr,non_sched_serv_warr,sched_serv_paid,non_sched_serv_paid,total_paid_services,total_services,mth_since_last_serv,annualised_mileage,num_dealers_visited,num_serv_dealer_purchased
36194,42497,4.0,0,2.0,1,9,8,8,8,9,9,8,3,5,4,9
36196,42501,6.0,0,5.0,3,9,8,8,8,8,8,8,9,3,3,9
36205,42511,4.0,1,5.0,3,8,7,3,8,4,6,5,9,6,3,7
36216,42524,2.0,0,3.0,1,8,6,3,5,2,3,3,8,7,7,5
36229,42540,3.0,0,2.0,1,7,9,4,9,5,7,7,6,8,10,7
36234,42547,3.0,0,5.0,3,10,5,8,8,7,7,6,9,7,3,8
36237,42550,3.0,1,0.0,0,1,2,2,1,1,1,2,2,1,3,3
36249,42566,0.0,0,5.0,3,6,10,6,10,6,9,10,8,7,10,6
36253,42570,1.0,1,6.0,0,8,3,7,4,6,4,6,9,7,9,7
36262,42579,5.0,1,10.0,3,6,2,3,1,1,1,1,1,1,2,2
36302,42629,2.0,1,0.0,0,9,10,10,10,9,10,10,3,10,7,10
36303,42630,2.0,1,0.0,0,8,5,9,7,7,7,8,9,9,10,8
36305,42632,4.0,1,6.0,0,8,5,6,7,4,5,6,9,7,4,7
36307,42635,0.0,1,6.0,0,5,10,5,9,6,8,9,7,9,7,9
36319,42648,6.0,0,1.0,3,9,4,6,3,7,5,4,9,7,3,6
36327,42656,3.0,1,1.0,3,6,4,10,5,10,9,8,7,6,7,9
36330,42659,5.0,1,2.0,1,6,1,1,2,1,2,1,1,1,1,1
36339,42669,5.0,0,1.0,3,7,8,2,8,2,5,6,6,5,5,7
36344,42676,2.0,1,0.0,0,8,6,5,6,4,4,4,9,5,7,1
36356,42692,5.0,0,5.0,3,7,4,5,4,9,7,3,10,3,8,5
36366,42706,3.0,1,1.0,3,7,6,5,10,4,9,5,8,6,4,3
36369,42709,2.0,0,1.0,3,7,5,2,7,1,4,4,8,5,8,6
36374,42714,3.0,0,5.0,3,10,4,8,7,6,5,5,9,6,7,7
36377,42717,6.0,0,3.0,1,5,10,10,9,6,8,10,5,8,8,10
36393,42738,2.0,1,6.0,0,6,7,4,7,8,8,5,9,4,7,7
36405,42751,5.0,1,6.0,0,10,8,5,9,4,6,7,10,6,8,8
36412,42760,1.0,0,3.0,1,10,3,6,2,6,4,3,9,5,7,5
36420,42770,5.0,1,1.0,3,9,10,9,10,10,10,10,5,10,9,10
36422,42772,5.0,1,3.0,1,9,8,8,9,8,9,9,6,5,7,10
36424,42774,6.0,0,1.0,3,5,10,4,8,7,7,9,7,6,4,9
36425,42775,2.0,1,3.0,1,8,10,8,10,7,9,10,4,10,4,10
36432,42783,2.0,0,1.0,3,7,2,2,2,2,2,2,1,2,2,1
36433,42784,3.0,1,0.0,0,4,7,3,5,4,4,6,6,8,8,7
36451,42803,5.0,0,5.0,3,9,2,7,2,8,6,4,10,2,9,2
36453,42805,5.0,1,1.0,3,7,1,1,1,2,1,1,1,1,1,1
36466,42818,1.0,1,7.0,1,5,6,5,5,3,3,5,3,9,9,4
36472,42827,5.0,1,0.0,0,5,6,10,7,9,9,9,4,9,5,9
36475,42830,0.0,1,6.0,0,6,10,10,8,10,9,10,6,10,10,7
36476,42832,3.0,1,3.0,1,7,5,10,5,5,4,9,3,6,9,9
36484,42841,5.0,1,1.0,3,8,2,1,2,3,2,2,1,2,2,2
36489,42848,5.0,1,2.0,1,7,5,5,4,7,5,4,8,3,6,6
36499,42859,4.0,0,2.0,1,7,1,1,3,2,2,1,1,1,1,1
36504,42865,3.0,0,5.0,3,10,4,5,5,6,5,3,10,3,7,5
36508,42870,2.0,0,1.0,3,6,8,8,7,7,7,8,8,7,9,6
36513,42875,0.0,1,4.0,3,8,4,7,7,6,5,5,10,3,6,6
36528,42893,0.0,0,5.0,3,9,3,10,5,9,8,10,8,9,9,7
36529,42894,1.0,0,5.0,3,9,4,4,4,5,4,4,10,3,5,5
36546,42912,2.0,0,1.0,3,7,5,10,5,7,5,8,4,10,6,9
36548,42914,2.0,0,1.0,3,6,8,8,8,6,7,8,6,9,9,9
36559,42926,2.0,1,3.0,1,7,6,6,10,7,10,5,8,8,8,7
36561,42928,4.0,1,0.0,0,10,9,5,9,4,6,6,9,7,4,4
36565,42932,0.0,0,6.0,0,5,8,8,7,6,6,8,6,6,3,9
36583,42954,5.0,1,0.0,0,6,10,9,5,6,5,10,6,5,6,10
36587,42958,3.0,1,1.0,3,8,9,10,8,9,8,10,5,6,8,10
36594,42966,5.0,1,3.0,1,6,8,9,7,10,9,9,3,9,6,10
36599,42971,5.0,1,0.0,0,10,5,1,7,2,4,3,10,5,8,5
36602,42974,5.0,0,2.0,1,10,5,2,6,1,4,4,7,4,3,5
36617,42994,3.0,0,5.0,3,5,4,2,3,3,2,3,10,3,3,4
36623,43001,2.0,1,2.0,1,1,3,3,1,3,1,1,2,2,2,2
36627,43005,2.0,1,3.0,1,6,1,9,1,8,6,6,7,5,5,7
36630,43010,2.0,0,3.0,1,6,1,1,1,3,2,1,1,1,1,1
36642,43022,3.0,0,1.0,3,5,3,10,5,9,9,8,8,6,9,5
36654,43035,3.0,1,3.0,1,7,10,5,9,8,8,9,3,10,3,10
36672,43055,3.0,0,6.0,0,6,9,6,10,4,8,7,7,10,9,6
36679,43062,3.0,0,3.0,1,7,6,8,9,10,10,7,8,10,9,8
36683,43068,1.0,1,1.0,3,8,8,7,9,7,8,8,3,7,9,1
36689,43076,5.0,1,0.0,0,6,7,8,5,7,5,8,7,5,8,9
36695,43082,1.0,0,4.0,3,8,6,5,6,5,4,5,10,4,6,7
36708,43098,4.0,0,5.0,3,9,9,1,7,3,4,5,9,5,7,7
36710,43100,3.0,1,0.0,0,4,5,9,9,10,10,8,5,6,6,8
36715,43105,2.0,0,5.0,3,10,4,9,4,6,4,7,10,3,4,9
36717,43107,5.0,0,1.0,3,5,8,5,8,5,7,7,7,5,8,9
36736,43132,1.0,0,1.0,3,9,3,3,3,4,2,3,6,8,4,5
36738,43134,3.0,0,5.0,3,6,9,4,8,5,5,7,7,6,5,9
36741,43137,3.0,0,1.0,3,9,10,10,10,8,10,10,6,9,10,10
36746,43143,1.0,1,6.0,0,7,5,5,4,5,4,3,10,3,4,1
36754,43156,6.0,1,2.0,1,8,5,5,4,4,3,3,10,3,4,5
36774,43179,2.0,1,6.0,0,6,10,9,6,4,4,10,7,10,9,10
36775,43180,4.0,1,1.0,3,5,7,5,4,6,4,6,7,7,7,8
36776,43181,1.0,0,3.0,1,6,8,10,9,7,8,10,7,8,9,8
36778,43184,2.0,0,1.0,3,8,5,4,7,7,7,4,6,8,5,6
36781,43189,1.0,1,1.0,3,10,5,5,7,10,10,4,10,4,9,5
36792,43202,1.0,0,3.0,1,7,9,9,8,8,8,9,8,6,10,4
36802,43215,1.0,1,2.0,1,10,9,9,8,6,6,10,3,9,3,2
36805,43219,2.0,0,3.0,1,6,6,4,5,8,7,5,6,6,6,7
36809,43224,2.0,1,2.0,1,10,7,4,7,6,6,5,10,4,10,5
36810,43228,4.0,0,5.0,3,8,8,7,9,7,8,7,6,6,7,9
36817,43235,3.0,0,1.0,3,8,4,4,5,4,3,3,10,3,6,5
36825,43245,2.0,1,2.0,1,8,9,10,10,8,9,10,7,10,10,9
36860,43288,3.0,1,3.0,1,5,10,10,10,10,10,10,3,10,9,10
36865,43295,4.0,0,1.0,3,9,2,9,2,8,6,6,10,4,10,4
36869,43299,2.0,1,1.0,3,6,10,6,10,6,8,9,7,9,9,6
36871,43301,2.0,0,3.0,1,6,10,10,8,9,9,10,4,10,10,4
36875,43307,1.0,0,1.0,3,9,6,10,7,9,8,10,10,7,6,9
36879,43311,6.0,1,1.0,3,10,6,4,8,5,6,5,10,3,6,6
36884,43316,3.0,0,1.0,3,6,8,4,8,5,6,6,3,8,5,8
36889,43322,1.0,1,6.0,0,7,2,3,2,4,2,2,10,2,5,4
36903,43339,3.0,0,1.0,3,5,9,9,9,6,7,9,4,9,4,10
36904,43340,3.0,1,3.0,1,9,4,7,3,9,8,4,10,3,4,6
36917,43355,4.0,1,2.0,1,8,9,2,5,2,3,5,5,10,4,7
36944,43386,4.0,0,1.0,3,8,10,7,10,9,10,9,7,9,9,10
36949,43393,1.0,1,0.0,0,6,5,9,3,10,9,8,9,7,9,4
36963,43408,4.0,1,2.0,1,10,2,10,1,8,6,8,3,10,10,7
36967,43413,3.0,1,2.0,1,8,2,9,2,6,4,6,10,3,4,5
36968,43414,3.0,0,1.0,3,7,9,8,10,8,9,9,6,10,2,3
36974,43420,6.0,1,1.0,3,6,8,9,8,8,8,9,8,4,7,9
36980,43427,3.0,1,2.0,1,3,7,7,7,10,10,7,6,6,3,9
36984,43431,1.0,1,0.0,0,7,7,10,10,9,9,9,5,8,9,5
36985,43432,2.0,1,3.0,1,7,10,4,9,7,8,8,4,10,9,7
36993,43440,3.0,1,0.0,0,9,10,6,10,8,9,9,8,9,3,10
36994,43441,3.0,0,1.0,3,7,8,10,7,10,10,10,6,5,9,9
36995,43442,4.0,1,6.0,0,3,1,1,2,3,1,1,1,1,1,1
36998,43446,2.0,0,2.0,1,9,9,10,10,7,9,10,6,9,10,8
37002,43450,2.0,0,10.0,3,10,9,7,9,7,8,8,7,8,5,9
37011,43459,2.0,1,3.0,1,8,9,10,10,9,9,10,4,9,4,10
37044,43497,3.0,0,14.0,3,10,8,3,10,5,8,7,9,7,9,7
37046,43499,1.0,0,2.0,1,8,3,6,4,6,4,5,8,10,2,3
